Email_Text,Email_Type,cleaned_text,sentiment
"re : 6 . 1100 , disc : uniformitarianism , re : 1086 ; sex / lang dick hudson 's observations on us use of 's on ' but not 'd aughter ' as a vocative are very thought-provoking , but i am not sure that it is fair to attribute this to "" sons "" being "" treated like senior relatives "" . for one thing , we do n't normally use ' brother ' in this way any more than we do 'd aughter ' , and it is hard to imagine a natural class comprising senior relatives and 's on ' but excluding ' brother ' . for another , there seem to me to be differences here . if i am not imagining a distinction that is not there , it seems to me that the senior relative terms are used in a wider variety of contexts , e . g . , calling out from a distance to get someone 's attention , and hence at the beginning of an utterance , whereas 's on ' seems more natural in utterances like ' yes , son ' , ' hand me that , son ' than in ones like ' son ! ' or ' son , help me ! ' ( although perhaps these latter ones are not completely impossible ) . alexis mr",Safe Email,re      disc  uniformitarianism  re    sex  lang dick hudson s observations on us use of s on  but not d aughter  as a vocative are very thoughtprovoking  but i am not sure that it is fair to attribute this to  sons  being  treated like senior relatives   for one thing  we do nt normally use  brother  in this way any more than we do d aughter   and it is hard to imagine a natural class comprising senior relatives and s on  but excluding  brother   for another  there seem to me to be differences here  if i am not imagining a distinction that is not there  it seems to me that the senior relative terms are used in a wider variety of contexts  e  g   calling out from a distance to get someone s attention  and hence at the beginning of an utterance  whereas s on  seems more natural in utterances like  yes  son    hand me that  son  than in ones like  son   or  son  help me    although perhaps these latter ones are not completely impossible   alexis mr,0
"the other side of * galicismos * * galicismo * is a spanish term which names the improper introduction of french words which are spanish sounding and thus very deceptive to the ear . * galicismo * is often considered to be a * barbarismo * . what would be the term which designates the opposite phenomenon , that is unlawful words of spanish origin which may have crept into french ? can someone provide examples ? thank you joseph m kozono < kozonoj @ gunet . georgetown . edu >",Safe Email,the other side of  galicismos   galicismo  is a spanish term which names the improper introduction of french words which are spanish sounding and thus very deceptive to the ear   galicismo  is often considered to be a  barbarismo   what would be the term which designates the opposite phenomenon  that is unlawful words of spanish origin which may have crept into french  can someone provide examples  thank you joseph m kozono ,0
"re : equistar deal tickets are you still available to assist robert with entering the new deal tickets for equistar ? after talking with bryan hull and anita luong , kyle and i decided we only need 1 additional sale ticket and 1 additional buyback ticket set up . - - - - - - - - - - - - - - - - - - - - - - forwarded by tina valadez / hou / ect on 04 / 06 / 2000 12 : 56 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - from : robert e lloyd on 04 / 06 / 2000 12 : 40 pm to : tina valadez / hou / ect @ ect cc : subject : re : equistar deal tickets you ' ll may want to run this idea by daren farmer . i don ' t normally add tickets into sitara . tina valadez 04 / 04 / 2000 10 : 42 am to : robert e lloyd / hou / ect @ ect cc : bryan hull / hou / ect @ ect subject : equistar deal tickets kyle and i met with bryan hull this morning and we decided that we only need 1 new sale ticket and 1 new buyback ticket set up . the time period for both tickets should be july 1999 - forward . the pricing for the new sale ticket should be like tier 2 of sitara # 156337 below : the pricing for the new buyback ticket should be like tier 2 of sitara # 156342 below : if you have any questions , please let me know . thanks , tina valadez 3 - 7548",Safe Email,re  equistar deal tickets are you still available to assist robert with entering the new deal tickets for equistar  after talking with bryan hull and anita luong  kyle and i decided we only need  additional sale ticket and  additional buyback ticket set up                        forwarded by tina valadez  hou  ect on         pm                            from  robert e lloyd on         pm to  tina valadez  hou  ect  ect cc  subject  re  equistar deal tickets you  ll may want to run this idea by daren farmer  i don  t normally add tickets into sitara  tina valadez         am to  robert e lloyd  hou  ect  ect cc  bryan hull  hou  ect  ect subject  equistar deal tickets kyle and i met with bryan hull this morning and we decided that we only need  new sale ticket and  new buyback ticket set up  the time period for both tickets should be july   forward  the pricing for the new sale ticket should be like tier  of sitara   below  the pricing for the new buyback ticket should be like tier  of sitara   below  if you have any questions  please let me know  thanks  tina valadez   ,0
"
Hello I am your hot lil horny toy.
    I am the one you dream About,
    I am a very open minded person,
    Love to talk about and any subject.
    Fantasy is my way of life, 
    Ultimate in sex play.     Ummmmmmmmmmmmmm
     I am Wet and ready for you.     It is not your looks but your imagination that matters most,
     With My sexy voice I can make your dream come true...
  
     Hurry Up! call me let me Cummmmm for you..........................
TOLL-FREE:             1-877-451-TEEN (1-877-451-8336)For phone billing:     1-900-993-2582
-- 
_______________________________________________
Sign-up for your own FREE Personalized E-mail at Mail.com
http://www.mail.com/?sr=signup",Phishing Email,"
hello i am your hot lil horny toy
    i am the one you dream about
    i am a very open minded person
    love to talk about and any subject
    fantasy is my way of life 
    ultimate in sex play     ummmmmmmmmmmmmm
     i am wet and ready for you     it is not your looks but your imagination that matters most
     with my sexy voice i can make your dream come true
  
     hurry up call me let me cummmmm for you
tollfree             teen for phone billing     
 

signup for your own free personalized email at mailcom
httpwwwmailcomsrsignup",1
"software at incredibly low prices ( 86 % lower ) . drapery seventeen term represent any sing . feet wild break able build . tail , send subtract represent . job cow student inch gave . let still warm , family draw , land book . glass plan include . sentence is , hat silent nothing . order , wild famous long their . inch such , saw , person , save . face , especially sentence science . certain , cry does . two depend yes , written carry .",Phishing Email,software at incredibly low prices    lower   drapery seventeen term represent any sing  feet wild break able build  tail  send subtract represent  job cow student inch gave  let still warm  family draw  land book  glass plan include  sentence is  hat silent nothing  order  wild famous long their  inch such  saw  person  save  face  especially sentence science  certain  cry does  two depend yes  written carry ,0
"global risk management operations sally congratulations on your new role . if you were not already aware , i am now in rac in houston and i suspect our responsibilities will mean we will talk on occasion . i look forward to that . best regards david - - - - - - - - - - - - - - - - - - - - - - forwarded by david port / lon / ect on 18 / 01 / 2000 14 : 16 - - - - - - - - - - - - - - - - - - - - - - - - - - - enron capital & trade resources corp . from : rick causey @ enron 18 / 01 / 2000 00 : 04 sent by : enron announcements @ enron to : all enron worldwide cc : subject : global risk management operations recognizing enron  , s increasing worldwide presence in the wholesale energy business and the need to insure outstanding internal controls for all of our risk management activities , regardless of location , a global risk management operations function has been created under the direction of sally w . beck , vice president . in this role , sally will report to rick causey , executive vice president and chief accounting officer . sally  , s responsibilities with regard to global risk management operations will mirror those of other recently created enron global functions . in this role , sally will work closely with all enron geographic regions and wholesale companies to insure that each entity receives individualized regional support while also focusing on the following global responsibilities : 1 . enhance communication among risk management operations professionals . 2 . assure the proliferation of best operational practices around the globe . 3 . facilitate the allocation of human resources . 4 . provide training for risk management operations personnel . 5 . coordinate user requirements for shared operational systems . 6 . oversee the creation of a global internal control audit plan for risk management activities . 7 . establish procedures for opening new risk management operations offices and create key benchmarks for measuring on - going risk controls . each regional operations team will continue its direct reporting relationship within its business unit , and will collaborate with sally in the delivery of these critical items . the houston - based risk management operations team under sue frusco  , s leadership , which currently supports risk management activities for south america and australia , will also report directly to sally . sally retains her role as vice president of energy operations for enron north america , reporting to the ena office of the chairman . she has been in her current role over energy operations since 1997 , where she manages risk consolidation and reporting , risk management administration , physical product delivery , confirmations and cash management for ena  , s physical commodity trading , energy derivatives trading and financial products trading . sally has been with enron since 1992 , when she joined the company as a manager in global credit . prior to joining enron , sally had four years experience as a commercial banker and spent seven years as a registered securities principal with a regional investment banking firm . she also owned and managed a retail business for several years . please join me in supporting sally in this additional coordination role for global risk management operations .",Safe Email,global risk management operations sally congratulations on your new role  if you were not already aware  i am now in rac in houston and i suspect our responsibilities will mean we will talk on occasion  i look forward to that  best regards david                       forwarded by david port  lon  ect on                                    enron capital  trade resources corp  from  rick causey  enron         sent by  enron announcements  enron to  all enron worldwide cc  subject  global risk management operations recognizing enron   s increasing worldwide presence in the wholesale energy business and the need to insure outstanding internal controls for all of our risk management activities  regardless of location  a global risk management operations function has been created under the direction of sally w  beck  vice president  in this role  sally will report to rick causey  executive vice president and chief accounting officer  sally   s responsibilities with regard to global risk management operations will mirror those of other recently created enron global functions  in this role  sally will work closely with all enron geographic regions and wholesale companies to insure that each entity receives individualized regional support while also focusing on the following global responsibilities    enhance communication among risk management operations professionals    assure the proliferation of best operational practices around the globe    facilitate the allocation of human resources    provide training for risk management operations personnel    coordinate user requirements for shared operational systems    oversee the creation of a global internal control audit plan for risk management activities    establish procedures for opening new risk management operations offices and create key benchmarks for measuring on  going risk controls  each regional operations team will continue its direct reporting relationship within its business unit  and will collaborate with sally in the delivery of these critical items  the houston  based risk management operations team under sue frusco   s leadership  which currently supports risk management activities for south america and australia  will also report directly to sally  sally retains her role as vice president of energy operations for enron north america  reporting to the ena office of the chairman  she has been in her current role over energy operations since   where she manages risk consolidation and reporting  risk management administration  physical product delivery  confirmations and cash management for ena   s physical commodity trading  energy derivatives trading and financial products trading  sally has been with enron since   when she joined the company as a manager in global credit  prior to joining enron  sally had four years experience as a commercial banker and spent seven years as a registered securities principal with a regional investment banking firm  she also owned and managed a retail business for several years  please join me in supporting sally in this additional coordination role for global risk management operations ,1
"On Sun, Aug 11, 2002 at 11:17:47AM +0100, wintermute mentioned:
> > The impression I get from reading lkml the odd time is
> > that IDE has gone downhill since Andre Hedrick was 
> > effectively removed as maintainer. Martin Dalecki seems
> > to have been unable to further development without 
> > much breakage. 
> 
> Hmm... begs the question, why remove Handrick?
> If it ain't broke, don't fix it. See, the IDE subsystem is like the One Ring. It's kludginess, due to
having to support hundreds of dodgy chipsets & drives means that it is
inherintly evil. A few months of looking at the code can turn you sour.
Years of looking at it will turn you into an arsehole. They haven't found a hobbit that can code, so mortal humans have to
suffice. Kate
-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie
",Safe Email,"on sun aug   at am  wintermute mentioned
  the impression i get from reading lkml the odd time is
  that ide has gone downhill since andre hedrick was 
  effectively removed as maintainer martin dalecki seems
  to have been unable to further development without 
  much breakage 
 
 hmm begs the question why remove handrick
 if it aint broke dont fix it see the ide subsystem is like the one ring its kludginess due to
having to support hundreds of dodgy chipsets  drives means that it is
inherintly evil a few months of looking at the code can turn you sour
years of looking at it will turn you into an arsehole they havent found a hobbit that can code so mortal humans have to
suffice kate
 
irish linux users group iluglinuxie
httpwwwlinuxiemailmanlistinfoilug for unsubscription information
list maintainer listmasterlinuxie
",0
"entourage , stockmogul newsletter ralph velez , genex pharmaceutical , inc . ( otcbb : genx ) biotech sizzle with sales and earnings ! treating bone related injuries in china revenues three months ended june 30 , 2004 : $ 525 , 750 vs . $ 98 , 763 year ago period net income three months ended june 30 , 2004 : $ 151 , 904 vs . ( $ 23 , 929 ) year ago period ( source : 10 q 8 / 16 / 04 ) look how these chinese companies trading in the usa did and what they would ' ve made your portfolio look like if you had the scoop on them : ( big money was made in these stocks by savvy investors who timed them right ) ( otcbb : caas ) : closed september 2 , 2003 at $ 4 . 00 . closed december 31 , 2003 : $ 16 . 65 , up 316 % otcbb : cwtd ) : closed january 30 , 2004 at $ 1 . 50 . closed february 17 th at $ 7 . 90 , up 426 % ordinary investors like you are getting filthy , stinking ri ' ch in tiny stocks no one has ever heard of until now . this biotech bad boy ( genx ) is already out of stealth mode and is top line revenue producing ! do you see where we ' re going with this ? biotech sizzle with sales and earnings ! about genex pharmaceutical , inc . ( product distribtued to 400 hospitals in 22 provinces ) genex pharmaceutical , inc . is a biomedical technology company with distinctive proprietary technology for an orthopedic device that treats bone - related injuries . headquartered in tianjin , china , the company manufactures and distributes reconstituted bone xenograft ( rbx ) , to 400 hospitals in 22 provinces throughout mainland china . rbx is approved by the state food and drug administration ( sfda ) in china ( the chinese government agency that regulates drugs and medical devices ) . rbx offers a modern alternative to traditional methods of treating orthopedic injuries . ( source : news release 7 / 27 / 04 ) recent press release headlines : ( new product tested and large acquisition in the works ! ) * genex pharmaceutical adopts new proprietary technology , substantially reduces manufacturing costs , sees positive impact to earnings * genex pharmaceutical signs letter of intent to acquire one of the world ' s largest producers of vitamin bl * genex pharmaceutical sees strong earnings growth for 2004 and 2005 * genex pharmaceutical 2 nd quarter revenue up 432 % , gross profit up 380 % , net income soars , sees continued earnings momentum for remainder of 2004 * genex pharmaceutical ' s micro - particle rbx medical product expands to the dental markets * could this be a "" rising star stock "" for your portfolio ? you may easily agree that the company is doing some dynamic things . some of these small stocks have absolutely exploded in price recently . * you may want to consider the "" chinese fortune cookie "" strategy : rising star chinese companies trading in the us . . consider adding genx to your portfolio today ! dis - claimer : information within this ema - il contains "" forward looking statements "" within the meaning of section 27 a of the securities act of 1933 and section 21 b of the securities exchange act of 1934 . any statements that express or involve discussions with respect to predictions , expectations , beliefs , plans , projections , objectives , goals , assumptions or future events or performance are not statements of historical fact and may be "" forward looking statements . "" forward looking statements are based on expectations , estimates and projections at the time the statements are made that involve a number of risks and uncertainties which could cause actual results or events to differ materially from those presently anticipated . forward looking statements in this action may be identified through the use of words such as "" projects "" , "" foresee "" , "" expects "" , "" will , "" "" anticipates , "" "" estimates , "" "" believes , "" "" understands "" or that by statements indicating certain actions "" may , "" "" could , "" or "" might "" occur . as with many micro - cap stocks , today ' s company has additional risk factors worth noting . those factors include : a limited operating history : the company advancing cash to related parties and a shareholder on an unsecured basis : one vendor , a related party through a majority stockholder , supplies ninety - seven percent of the company ' s raw materials : reliance on two customers for over fifty percent of their business and numerous related party transactions and the need to raise capital . these risk factors and others are fully detailed in the company ' s sec filings . we urge you to read them before you invest . the publisher of this letter does not represent that the information contained in this message states all material facts or does not omit a material fact necessary to make the statements therein not misleading . all information provided within this ema - il pertaining to investing , stocks or securities must be understood as information provided and not investment advice . the publisher of this letter advises all readers and subscribers to seek advice from a registered professional securities representative before deciding to trade in stocks featured within this ema - il . none of the material within this report shall be construed as any kind of investment advice or solicitation . many of these companies are on the verge of bankruptcy . you can lose all your money by investing in this stock . the publisher of this letter is not a registered investment advisor . subscribers should not view information herein as legal , tax , accounting or investment advice . any reference to past performance ( s ) of companies are specially selected to be referenced based on the favorable performance of these companies . you would need perfect timing to acheive the results in the examples given . there can be no assurance of that happening . remember , as always , past performance is never indicative of future results and a thorough due diligence effort , including a review of a company ' s filings , should be completed prior to investing . the publisher of this letter has no relationship with caas and cwtd . ( source for price information : yahoo finance historical ) . in compliance with the securities act of 1933 , sectionl 7 ( b ) , the publisher of this letter discloses the receipt of twenty four thousand dollars from a third party , ( dmi , inc ) not an officer , director or affiliate shareholder for the circulation of this report . be aware of an inherent conflict of interest resulting from such compensation due to the fact that this is a paid adver - tisement and is not without bias . all factual information in this report was gathered from public sources , including but not limited to company websites , sec filings and company press releases . the publisher of this letter believes this information to be reliable but can make no guar - antee as to its accuracy or completeness . use of the material within this ema - il constitutes your acceptance of these terms . indemnity urbanite fogy denude registrable usia pilfer ethylene pounce pisces mutate water dialect contrast seymour molest commonality epidermic liquefaction prom koenig cookbook clio sixteenth casteth barrage borax told irredeemable desmond circle , finch parch farkas fum arrogant neumann remission marten countryside silty bird placenta diphthong crass typhoid eyesight diatom extendible clip midspan insomniac continuation . woebegone borealis pyramidal brandish sepal abnormal career avertive verdict bath collie canal rpm jolly primeval wong dishwasher noose magician accentuate apparel apache aerogene palmetto halsey rosetta springy despot depend sloe cattleman beginner exorcise cranberry von dissonant .",Phishing Email,entourage  stockmogul newsletter ralph velez  genex pharmaceutical  inc   otcbb  genx  biotech sizzle with sales and earnings  treating bone related injuries in china revenues three months ended june         vs      year ago period net income three months ended june         vs        year ago period  source   q       look how these chinese companies trading in the usa did and what they would  ve made your portfolio look like if you had the scoop on them   big money was made in these stocks by savvy investors who timed them right   otcbb  caas   closed september    at      closed december          up   otcbb  cwtd   closed january    at      closed february  th at      up   ordinary investors like you are getting filthy  stinking ri  ch in tiny stocks no one has ever heard of until now  this biotech bad boy  genx  is already out of stealth mode and is top line revenue producing  do you see where we  re going with this  biotech sizzle with sales and earnings  about genex pharmaceutical  inc   product distribtued to  hospitals in  provinces  genex pharmaceutical  inc  is a biomedical technology company with distinctive proprietary technology for an orthopedic device that treats bone  related injuries  headquartered in tianjin  china  the company manufactures and distributes reconstituted bone xenograft  rbx   to  hospitals in  provinces throughout mainland china  rbx is approved by the state food and drug administration  sfda  in china  the chinese government agency that regulates drugs and medical devices   rbx offers a modern alternative to traditional methods of treating orthopedic injuries   source  news release       recent press release headlines   new product tested and large acquisition in the works    genex pharmaceutical adopts new proprietary technology  substantially reduces manufacturing costs  sees positive impact to earnings  genex pharmaceutical signs letter of intent to acquire one of the world  s largest producers of vitamin bl  genex pharmaceutical sees strong earnings growth for  and   genex pharmaceutical  nd quarter revenue up    gross profit up    net income soars  sees continued earnings momentum for remainder of   genex pharmaceutical  s micro  particle rbx medical product expands to the dental markets  could this be a  rising star stock  for your portfolio  you may easily agree that the company is doing some dynamic things  some of these small stocks have absolutely exploded in price recently   you may want to consider the  chinese fortune cookie  strategy  rising star chinese companies trading in the us   consider adding genx to your portfolio today  dis  claimer  information within this ema  il contains  forward looking statements  within the meaning of section  a of the securities act of  and section  b of the securities exchange act of   any statements that express or involve discussions with respect to predictions  expectations  beliefs  plans  projections  objectives  goals  assumptions or future events or performance are not statements of historical fact and may be  forward looking statements   forward looking statements are based on expectations  estimates and projections at the time the statements are made that involve a number of risks and uncertainties which could cause actual results or events to differ materially from those presently anticipated  forward looking statements in this action may be identified through the use of words such as  projects    foresee    expects    will    anticipates    estimates    believes    understands  or that by statements indicating certain actions  may    could   or  might  occur  as with many micro  cap stocks  today  s company has additional risk factors worth noting  those factors include  a limited operating history  the company advancing cash to related parties and a shareholder on an unsecured basis  one vendor  a related party through a majority stockholder  supplies ninety  seven percent of the company  s raw materials  reliance on two customers for over fifty percent of their business and numerous related party transactions and the need to raise capital  these risk factors and others are fully detailed in the company  s sec filings  we urge you to read them before you invest  the publisher of this letter does not represent that the information contained in this message states all material facts or does not omit a material fact necessary to make the statements therein not misleading  all information provided within this ema  il pertaining to investing  stocks or securities must be understood as information provided and not investment advice  the publisher of this letter advises all readers and subscribers to seek advice from a registered professional securities representative before deciding to trade in stocks featured within this ema  il  none of the material within this report shall be construed as any kind of investment advice or solicitation  many of these companies are on the verge of bankruptcy  you can lose all your money by investing in this stock  the publisher of this letter is not a registered investment advisor  subscribers should not view information herein as legal  tax  accounting or investment advice  any reference to past performance  s  of companies are specially selected to be referenced based on the favorable performance of these companies  you would need perfect timing to acheive the results in the examples given  there can be no assurance of that happening  remember  as always  past performance is never indicative of future results and a thorough due diligence effort  including a review of a company  s filings  should be completed prior to investing  the publisher of this letter has no relationship with caas and cwtd   source for price information  yahoo finance historical   in compliance with the securities act of   sectionl   b   the publisher of this letter discloses the receipt of twenty four thousand dollars from a third party   dmi  inc  not an officer  director or affiliate shareholder for the circulation of this report  be aware of an inherent conflict of interest resulting from such compensation due to the fact that this is a paid adver  tisement and is not without bias  all factual information in this report was gathered from public sources  including but not limited to company websites  sec filings and company press releases  the publisher of this letter believes this information to be reliable but can make no guar  antee as to its accuracy or completeness  use of the material within this ema  il constitutes your acceptance of these terms  indemnity urbanite fogy denude registrable usia pilfer ethylene pounce pisces mutate water dialect contrast seymour molest commonality epidermic liquefaction prom koenig cookbook clio sixteenth casteth barrage borax told irredeemable desmond circle  finch parch farkas fum arrogant neumann remission marten countryside silty bird placenta diphthong crass typhoid eyesight diatom extendible clip midspan insomniac continuation  woebegone borealis pyramidal brandish sepal abnormal career avertive verdict bath collie canal rpm jolly primeval wong dishwasher noose magician accentuate apparel apache aerogene palmetto halsey rosetta springy despot depend sloe cattleman beginner exorcise cranberry von dissonant ,0
"we owe you lots of money dear applicant , after further review upon receiving your application your current mortgage qualifies for a 3 % lower rate . your new monthly payment will be as low as $ 340 / month for a $ 200 , 000 loan . please confirm your information in order for us to finalize your loan , or you may also apply for a new one . complete the final steps by visiting our 60 second form we look foward to working with you . thank you , nicole staley , account manager logan and associates , llc . - - - - - - - - - - - - - - - - - - - - - - - not interested - http : / / www . azrefi . net / book . php",Phishing Email,we owe you lots of money dear applicant  after further review upon receiving your application your current mortgage qualifies for a   lower rate  your new monthly payment will be as low as    month for a     loan  please confirm your information in order for us to finalize your loan  or you may also apply for a new one  complete the final steps by visiting our  second form we look foward to working with you  thank you  nicole staley  account manager logan and associates  llc                         not interested  http    www  azrefi  net  book  php,0
"re : coastal deal - with exxon participation under the project agreement thanks for the info ! as greg mentioned in the staff meeting today , the intent is that this restructured deal is papered effective 4 / 1 / 00 . the impact is potentially that the gas is not pathed properly by counterparty or on the appropriate transport / gathering agreements , etc . if any rates are changing , then those need to be changed in our systems also . there may be other areas of changes also - i ' m not attempting to list them all . rather i just want to make people aware that retroactive deals can have impacts on the daily operations . thanks for the information . pat / daren : can you get with mike and / or brian to determine the potential impact , if any ? thanks . from : steve van hooser 04 / 10 / 2000 03 : 06 pm to : brenda f herod / hou / ect @ ect cc : michael c bilberry / hou / ect @ ect , brian m riley / hou / ect @ ect subject : coastal deal - with exxon participation under the project agreement brenda , per your request , attached are the draft documents which will be used to finalize the new gathering arrangment between hpl and coastal , the revenue sharing arrangement between exxon and hpl ( transaction agreement ) and the residue gas purchase agreement between coastal , as seller and hpl as buyer ( amendment to wellhead purchase agreeement ) . i do not have a copy of the processing agreement between exxon and coastal , as such agreement does not involve us ( and i believe it is far from finalized . the only other document that i plan to prepare is a termination agreement relative to the current liquifiables purchase agreement between exxon as purchaser and hpl as seller - - this termination will be affective as of 4 / 1 / 2000 . if i can be of any further assistance , please let me know . steve",Safe Email,re  coastal deal  with exxon participation under the project agreement thanks for the info  as greg mentioned in the staff meeting today  the intent is that this restructured deal is papered effective       the impact is potentially that the gas is not pathed properly by counterparty or on the appropriate transport  gathering agreements  etc  if any rates are changing  then those need to be changed in our systems also  there may be other areas of changes also  i  m not attempting to list them all  rather i just want to make people aware that retroactive deals can have impacts on the daily operations  thanks for the information  pat  daren  can you get with mike and  or brian to determine the potential impact  if any  thanks  from  steve van hooser         pm to  brenda f herod  hou  ect  ect cc  michael c bilberry  hou  ect  ect  brian m riley  hou  ect  ect subject  coastal deal  with exxon participation under the project agreement brenda  per your request  attached are the draft documents which will be used to finalize the new gathering arrangment between hpl and coastal  the revenue sharing arrangement between exxon and hpl  transaction agreement  and the residue gas purchase agreement between coastal  as seller and hpl as buyer  amendment to wellhead purchase agreeement   i do not have a copy of the processing agreement between exxon and coastal  as such agreement does not involve us  and i believe it is far from finalized  the only other document that i plan to prepare is a termination agreement relative to the current liquifiables purchase agreement between exxon as purchaser and hpl as seller   this termination will be affective as of       if i can be of any further assistance  please let me know  steve,0
